selling_price,km_driven,fuel,seller_type,transmission,owner,Age,price_age,price_km
60000,70000,Petrol,Individual,Manual,First Owner,13,165466.0097,362279.1472
135000,50000,Petrol,Individual,Manual,First Owner,13,165466.0097,420457.8193
600000,100000,Diesel,Individual,Manual,First Owner,8,383616.7757,367524.4406
250000,46000,Petrol,Individual,Manual,First Owner,3,736892.2615,536785.7143
450000,141000,Diesel,Individual,Manual,Second Owner,6,518887.0548,450000
140000,125000,Petrol,Individual,Manual,First Owner,13,165466.0097,213125
550000,25000,Petrol,Individual,Manual,First Owner,4,643706.7143,546884.9375
240000,60000,Petrol,Individual,Manual,Second Owner,6,518887.0548,376801.0833
850000,25000,Petrol,Individual,Manual,First Owner,5,507648.5144,546884.9375
365000,78000,CNG,Individual,Manual,First Owner,3,736892.2615,437500
260000,35000,Petrol,Individual,Manual,First Owner,5,507648.5144,618923.9873
250000,100000,Petrol,Individual,Manual,First Owner,6,518887.0548,367524.4406
1650000,25000,Petrol,Dealer,Automatic,First Owner,2,823822.0285,546884.9375
585000,24000,Petrol,Dealer,Manual,First Owner,5,507648.5144,812142.7857
1195000,5000,Diesel,Dealer,Manual,First Owner,1,870222.1961,753151.4848
390000,33000,Diesel,Individual,Manual,Second Owner,7,441215.578,553333.3333
1964999,28000,Diesel,Dealer,Automatic,First Owner,6,518887.0548,565833
1425000,59000,Diesel,Dealer,Automatic,First Owner,7,441215.578,822500
975000,4500,Diesel,Dealer,Automatic,First Owner,2,823822.0285,975000
1190000,175900,Diesel,Dealer,Automatic,First Owner,9,298903.3151,1190000
930000,14500,Petrol,Dealer,Manual,First Owner,2,823822.0285,930000
525000,15000,Petrol,Individual,Manual,First Owner,2,823822.0285,643275.8276
1735000,50000,Diesel,Dealer,Automatic,First Owner,7,441215.578,420457.8193
1375000,33800,Diesel,Dealer,Automatic,Second Owner,8,383616.7757,1375000
450000,130400,Diesel,Dealer,Automatic,Second Owner,9,298903.3151,450000
900000,50000,Petrol,Individual,Automatic,First Owner,4,643706.7143,420457.8193
1300000,80000,Diesel,Individual,Manual,First Owner,5,507648.5144,354072.418
1400000,10000,Petrol,Individual,Manual,First Owner,1,870222.1961,782431.3529
850000,119000,Petrol,Dealer,Automatic,First Owner,10,278209.7113,587500
1550000,75800,Diesel,Dealer,Automatic,Second Owner,7,441215.578,1550000
1250000,78000,Diesel,Dealer,Automatic,Third Owner,11,242653.8077,437500
625000,40000,Diesel,Individual,Manual,First Owner,8,383616.7757,495938.855
1050000,50000,Diesel,Individual,Manual,First Owner,6,518887.0548,420457.8193
560000,74000,Diesel,Individual,Manual,Second Owner,6,518887.0548,513750
290000,64000,Petrol,Individual,Manual,Second Owner,6,518887.0548,670750
275000,60000,Petrol,Individual,Manual,Second Owner,8,383616.7757,376801.0833
411000,120000,Diesel,Individual,Manual,Second Owner,11,242653.8077,290779.5484
150000,79000,Petrol,Individual,Manual,Third Owner,11,242653.8077,127500
500000,15000,Petrol,Individual,Manual,First Owner,1,870222.1961,643275.8276
100000,80000,Petrol,Individual,Manual,First Owner,14,153494.2184,354072.418
725000,18500,Diesel,Dealer,Manual,First Owner,3,736892.2615,525000
401000,10200,Petrol,Dealer,Manual,First Owner,2,823822.0285,401000
750000,29000,Diesel,Dealer,Manual,First Owner,2,823822.0285,621249.75
310000,28000,Petrol,Dealer,Manual,First Owner,2,823822.0285,565833
665000,46000,Diesel,Dealer,Manual,First Owner,4,643706.7143,536785.7143
465000,70000,Diesel,Dealer,Manual,First Owner,6,518887.0548,362279.1472
160000,60000,Petrol,Individual,Manual,Second Owner,8,383616.7757,376801.0833
250000,35000,Diesel,Individual,Manual,Second Owner,24,225000,618923.9873
675000,90000,Diesel,Dealer,Manual,First Owner,6,518887.0548,316149.6369
300000,80000,Petrol,Dealer,Manual,First Owner,7,441215.578,354072.418
70000,80000,Diesel,Individual,Manual,First Owner,15,114381.1897,354072.418
240000,73300,Petrol,Dealer,Manual,Second Owner,6,518887.0548,240000
525000,92000,Diesel,Dealer,Manual,First Owner,6,518887.0548,362000
151000,66764,Petrol,Dealer,Manual,Second Owner,11,242653.8077,151000
140000,100000,Petrol,Individual,Manual,First Owner,11,242653.8077,367524.4406
280000,350000,Diesel,Individual,Manual,Second Owner,10,278209.7113,315000
350000,230000,Diesel,Individual,Manual,First Owner,9,298903.3151,391249.75
570000,60000,Diesel,Individual,Manual,First Owner,3,736892.2615,376801.0833
300000,31000,Petrol,Individual,Manual,First Owner,2,823822.0285,600000
100000,39000,Diesel,Individual,Manual,First Owner,13,165466.0097,863000
500000,120000,Diesel,Individual,Manual,Third Owner,11,242653.8077,290779.5484
130000,110000,Petrol,Individual,Manual,Third Owner,14,153494.2184,350386.099
925000,35000,Diesel,Individual,Manual,First Owner,3,736892.2615,618923.9873
750000,60000,Diesel,Individual,Manual,First Owner,2,823822.0285,376801.0833
200000,54000,Petrol,Individual,Automatic,Second Owner,13,165466.0097,301083.3333
248000,63000,Petrol,Individual,Manual,Second Owner,10,278209.7113,351600
450000,120000,Diesel,Individual,Manual,Second Owner,6,518887.0548,290779.5484
80000,120000,Petrol,Individual,Manual,Third Owner,15,114381.1897,290779.5484
650000,76000,Petrol,Individual,Manual,Second Owner,6,518887.0548,298571.4286
450000,80000,Diesel,Individual,Manual,First Owner,5,507648.5144,354072.418
650000,25000,Diesel,Individual,Manual,First Owner,1,870222.1961,546884.9375
495000,11958,Petrol,Dealer,Manual,First Owner,4,643706.7143,495000
371000,20000,Petrol,Dealer,Manual,First Owner,5,507648.5144,660733.2933
1025000,9000,Petrol,Dealer,Manual,First Owner,3,736892.2615,934999.6667
8150000,6500,Diesel,Dealer,Automatic,First Owner,3,736892.2615,8150000
750000,70000,Diesel,Individual,Manual,First Owner,5,507648.5144,362279.1472
600000,120000,Diesel,Individual,Manual,First Owner,7,441215.578,290779.5484
80000,58000,Petrol,Dealer,Manual,Second Owner,13,165466.0097,510444.3889
325000,62200,Diesel,Dealer,Manual,First Owner,7,441215.578,325000
1470000,34000,Diesel,Dealer,Automatic,Second Owner,6,518887.0548,790000
350000,53000,Diesel,Individual,Manual,Second Owner,5,507648.5144,762000
2800000,49000,Diesel,Dealer,Automatic,First Owner,7,441215.578,739600
210000,15000,Petrol,Dealer,Manual,Second Owner,3,736892.2615,643275.8276
450000,50000,Petrol,Individual,Manual,First Owner,7,441215.578,420457.8193
1150000,53000,Diesel,Dealer,Automatic,First Owner,7,441215.578,762000
210000,63500,Petrol,Dealer,Automatic,First Owner,11,242653.8077,210000
4500000,9800,Petrol,Dealer,Automatic,First Owner,2,823822.0285,4500000
2750000,13000,Diesel,Individual,Automatic,First Owner,3,736892.2615,2731000
1975000,21000,Diesel,Dealer,Automatic,First Owner,2,823822.0285,683999.8
175000,29173,Petrol,Dealer,Manual,First Owner,12,179747.4918,175000
2500000,48000,Diesel,Dealer,Automatic,First Owner,8,383616.7757,742777.7778
628000,120000,Diesel,Individual,Manual,First Owner,3,736892.2615,290779.5484
600000,100000,Diesel,Individual,Manual,First Owner,10,278209.7113,367524.4406
399000,30000,Petrol,Individual,Manual,First Owner,3,736892.2615,616484.1474
750000,87000,Diesel,Individual,Manual,First Owner,2,823822.0285,402142.8571
750000,15000,Petrol,Individual,Manual,First Owner,1,870222.1961,643275.8276
315000,16000,Petrol,Individual,Manual,First Owner,3,736892.2615,491000
600000,60000,Diesel,Individual,Manual,First Owner,8,383616.7757,376801.0833
250000,110000,Petrol,Individual,Manual,Third Owner,9,298903.3151,350386.099
350000,25000,Petrol,Individual,Manual,First Owner,3,736892.2615,546884.9375
780000,60000,Diesel,Individual,Manual,First Owner,4,643706.7143,376801.0833
434000,79350,Diesel,Individual,Manual,Second Owner,6,518887.0548,434000
690000,80000,Petrol,Individual,Automatic,First Owner,4,643706.7143,354072.418
555000,90000,Diesel,Individual,Manual,Second Owner,6,518887.0548,316149.6369
120000,90000,Petrol,Individual,Manual,Second Owner,13,165466.0097,316149.6369
500000,120000,Diesel,Individual,Manual,Second Owner,6,518887.0548,290779.5484
165000,60000,Diesel,Individual,Manual,Second Owner,7,441215.578,376801.0833
95000,50000,Petrol,Individual,Manual,First Owner,16,125530.303,420457.8193
550000,20000,Petrol,Individual,Manual,First Owner,2,823822.0285,660733.2933
100000,50000,Petrol,Individual,Manual,Second Owner,8,383616.7757,420457.8193
500000,100000,Diesel,Individual,Manual,First Owner,8,383616.7757,367524.4406
800000,70000,Diesel,Individual,Manual,Second Owner,4,643706.7143,362279.1472
840000,70000,Diesel,Individual,Manual,Second Owner,4,643706.7143,362279.1472
490000,50000,Petrol,Individual,Manual,First Owner,4,643706.7143,420457.8193
125000,81000,Diesel,Individual,Manual,Second Owner,10,278209.7113,788000
400000,120000,Diesel,Individual,Manual,Third Owner,8,383616.7757,290779.5484
1000000,3600,Diesel,Dealer,Manual,First Owner,5,507648.5144,1000000
530000,14272,Petrol,Dealer,Manual,First Owner,5,507648.5144,530000
840000,49213,Diesel,Dealer,Manual,First Owner,3,736892.2615,840000
229999,40000,Petrol,Individual,Manual,First Owner,5,507648.5144,495938.855
130000,80000,Petrol,Individual,Manual,First Owner,8,383616.7757,354072.418
200000,70000,Petrol,Individual,Manual,First Owner,5,507648.5144,362279.1472
120000,70000,Diesel,Individual,Manual,First Owner,9,298903.3151,362279.1472
75000,57000,Petrol,Individual,Manual,First Owner,17,78315.78947,688285.7143
250000,120000,Diesel,Individual,Manual,First Owner,4,643706.7143,290779.5484
100000,30000,Petrol,Individual,Manual,First Owner,15,114381.1897,616484.1474
280000,3240,Petrol,Individual,Manual,Second Owner,7,441215.578,280000
540000,5000,Petrol,Individual,Manual,First Owner,5,507648.5144,753151.4848
700000,10000,Petrol,Individual,Manual,First Owner,2,823822.0285,782431.3529
525000,100000,Diesel,Individual,Manual,First Owner,5,507648.5144,367524.4406
430000,80000,Diesel,Individual,Manual,First Owner,4,643706.7143,354072.418
65000,70000,Petrol,Individual,Manual,First Owner,18,88571.42857,362279.1472
800000,35000,Diesel,Individual,Manual,First Owner,2,823822.0285,618923.9873
75000,114000,Petrol,Individual,Manual,Second Owner,13,165466.0097,75000
210000,53772,Petrol,Individual,Manual,First Owner,12,179747.4918,210000
195000,140000,Diesel,Individual,Manual,Second Owner,8,383616.7757,338269
400000,120000,Diesel,Individual,Manual,First Owner,5,507648.5144,290779.5484
170000,60000,Petrol,Individual,Manual,First Owner,8,383616.7757,376801.0833
225000,25000,Petrol,Individual,Manual,First Owner,4,643706.7143,546884.9375
240000,120000,Petrol,Individual,Manual,First Owner,0,779843.75,290779.5484
300000,175000,Diesel,Individual,Manual,First Owner,5,507648.5144,279000
99000,100000,Petrol,Individual,Manual,Third Owner,9,298903.3151,367524.4406
620000,36000,Petrol,Individual,Manual,First Owner,6,518887.0548,741444.4444
500000,30000,Diesel,Individual,Manual,First Owner,7,441215.578,616484.1474
2550000,40000,Petrol,Individual,Automatic,Second Owner,10,278209.7113,495938.855
260000,70000,Petrol,Individual,Manual,Second Owner,7,441215.578,362279.1472
550000,60000,Petrol,Individual,Manual,First Owner,3,736892.2615,376801.0833
150000,155500,Diesel,Individual,Manual,First Owner,9,298903.3151,150000
350000,50000,Petrol,Individual,Automatic,Second Owner,9,298903.3151,420457.8193
